From, To, Jaccard
src\main\java\app\CallFanInClassGenerator.java, src\main\java\app\CallFanInGenerator.java, 0.5
src\main\java\app\CallFanInClassGenerator.java, src\main\java\app\CallFanOutClassGenerator.java, 0.7894736842105263
src\main\java\app\CallFanInClassGenerator.java, src\main\java\app\CallFanOutGenerator.java, 0.4411764705882353
src\main\java\app\CallFanInClassGenerator.java, src\main\java\app\CallGraphGenerator.java, 0.22535211267605634
src\main\java\app\CallFanInGenerator.java, src\main\java\app\CallFanOutClassGenerator.java, 0.47761194029850745
src\main\java\app\CallFanInGenerator.java, src\main\java\app\CallFanOutGenerator.java, 0.7272727272727273
src\main\java\app\CallFanInGenerator.java, src\main\java\app\CallGraphGenerator.java, 0.2537313432835821
src\main\java\app\CallFanOutClassGenerator.java, src\main\java\app\CallFanOutGenerator.java, 0.4626865671641791
src\main\java\app\CallFanOutClassGenerator.java, src\main\java\app\CallGraphGenerator.java, 0.20833333333333334
src\main\java\app\CallFanOutGenerator.java, src\main\java\app\CallGraphGenerator.java, 0.22058823529411764
src\main\java\app\ClassDiagramGenerator.java, src\main\java\app\ComputeClassMetrics.java, 0.3
src\main\java\app\ClassDiagramGenerator.java, src\main\java\app\EnhancedClassDiagramGenerator.java, 0.6666666666666666
src\main\java\app\ClassDiagramGenerator.java, src\main\java\app\GlobalFileComparison.java, 0.3157894736842105
src\main\java\app\ClassDiagramGenerator.java, src\main\java\app\LocalFileComparison.java, 0.1935483870967742
src\main\java\app\ClassDiagramGenerator.java, src\main\java\fileComparison\visualise\SimilarityVisualiser.java, 0.19047619047619047
src\main\java\app\ComputeClassMetrics.java, src\main\java\app\EnhancedClassDiagramGenerator.java, 0.3
src\main\java\app\ComputeClassMetrics.java, src\main\java\app\GlobalFileComparison.java, 0.4
src\main\java\app\ComputeClassMetrics.java, src\main\java\app\LocalFileComparison.java, 0.2222222222222222
src\main\java\app\ComputeClassMetrics.java, src\main\java\fileComparison\visualise\SimilarityVisualiser.java, 0.23529411764705882
src\main\java\app\EnhancedClassDiagramGenerator.java, src\main\java\app\GlobalFileComparison.java, 0.3157894736842105
src\main\java\app\EnhancedClassDiagramGenerator.java, src\main\java\app\LocalFileComparison.java, 0.1935483870967742
src\main\java\app\EnhancedClassDiagramGenerator.java, src\main\java\fileComparison\visualise\SimilarityVisualiser.java, 0.19047619047619047
src\main\java\app\GlobalFileComparison.java, src\main\java\app\LocalFileComparison.java, 0.23076923076923078
src\main\java\app\GlobalFileComparison.java, src\main\java\fileComparison\visualise\SimilarityVisualiser.java, 0.25
src\main\java\app\LocalFileComparison.java, src\main\java\fileComparison\visualise\SimilarityVisualiser.java, 0.23076923076923078
src\main\java\dependenceAnalysis\interprocedural\ClassCallGraph.java, src\main\java\dependenceAnalysis\interprocedural\RestrictedCallGraph.java, 0.17777777777777778
src\main\java\dynamicAnalysis\agent\LogMain.java, src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, 0.15384615384615385
src\main\java\dynamicAnalysis\agent\LogMain.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.15384615384615385
src\main\java\fileComparison\visualise\BitmapVisualiser.java, src\main\java\fileComparison\visualise\SimilarityVisualiser.java, 0.1590909090909091
src\main\java\structuralAnalysis\ClassCallDiagram.java, src\main\java\structuralAnalysis\ClassDiagram.java, 0.2336448598130841
src\main\java\structuralAnalysis\ClassCallDiagram.java, src\main\java\structuralAnalysis\EnhancedClassDiagram.java, 0.3484848484848485
src\main\java\structuralAnalysis\ClassCallDiagram.java, src\main\java\structuralAnalysis\MetricsClassDiagram.java, 0.390625
src\main\java\structuralAnalysis\ClassDiagram.java, src\main\java\structuralAnalysis\EnhancedClassDiagram.java, 0.23529411764705882
src\main\java\structuralAnalysis\ClassDiagram.java, src\main\java\structuralAnalysis\MetricsClassDiagram.java, 0.2564102564102564
src\main\java\structuralAnalysis\EnhancedClassDiagram.java, src\main\java\structuralAnalysis\MetricsClassDiagram.java, 0.8245614035087719
src\main\java\structuralAnalysis\metrics\ClassMetricAggregator.java, src\main\java\versionRepositoryAnalysis\Pairs.java, 0.16216216216216217
src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, src\main\java\structuralAnalysis\metrics\clazz\CouplingBetweenObjects.java, 0.23809523809523808
src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, src\main\java\structuralAnalysis\metrics\clazz\DepthOfInheritanceTree.java, 0.19230769230769232
src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, 0.25
src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, 0.15
src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, 0.19047619047619047
src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.2
src\main\java\structuralAnalysis\metrics\clazz\ClassMetric.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.3333333333333333
src\main\java\structuralAnalysis\metrics\clazz\CouplingBetweenObjects.java, src\main\java\structuralAnalysis\metrics\clazz\DepthOfInheritanceTree.java, 0.20588235294117646
src\main\java\structuralAnalysis\metrics\clazz\CouplingBetweenObjects.java, src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, 0.25
src\main\java\structuralAnalysis\metrics\clazz\CouplingBetweenObjects.java, src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, 0.20689655172413793
src\main\java\structuralAnalysis\metrics\clazz\CouplingBetweenObjects.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.21428571428571427
src\main\java\structuralAnalysis\metrics\clazz\DepthOfInheritanceTree.java, src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, 0.25
src\main\java\structuralAnalysis\metrics\clazz\DepthOfInheritanceTree.java, src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, 0.17647058823529413
src\main\java\structuralAnalysis\metrics\clazz\DepthOfInheritanceTree.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.18181818181818182
src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, 0.18518518518518517
src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, 0.25925925925925924
src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.2692307692307692
src\main\java\structuralAnalysis\metrics\clazz\WeightedMethodCount.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.19047619047619047
src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, 0.28
src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.24
src\main\java\structuralAnalysis\metrics\method\CyclomaticComplexityMetric.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.2777777777777778
src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, 0.65
src\main\java\structuralAnalysis\metrics\method\FanInMetric.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.25
src\main\java\structuralAnalysis\metrics\method\FanOutMetric.java, src\main\java\structuralAnalysis\metrics\method\MethodMetric.java, 0.2631578947368421
